Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
19.07.2021;392139;7892;35;12531;10783;17;79
20.07.2021;392185;6603;46;12534;7958;6;79
21.07.2021;392219;6779;34;12534;7627;16;79
22.07.2021;392259;7466;40;12534;8799;27;75
23.07.2021;392302;10540;43;12534;11194;10;77
24.07.2021;392348;5834;46;12534;7507;12;80
25.07.2021;392355;1432;7;12534;5872;12;81
26.07.2021;392406;8694;51;12534;9898;23;82
27.07.2021;392488;7399;82;12534;8062;18;81
28.07.2021;392537;6965;49;12536;6955;21;80
29.07.2021;392581;7288;44;12536;8744;16;81
30.07.2021;392647;10239;66;12540;11316;20;87
31.07.2021;392704;5864;57;12540;7276;11;88
01.08.2021;392710;1205;6;12540;5275;16;89
02.08.2021;392751;7703;41;12541;9627;33;86
03.08.2021;392845;6918;94;12541;7889;14;84
04.08.2021;392898;5837;53;12541;7382;13;85
05.08.2021;392963;7265;65;12541;8138;21;80
06.08.2021;393007;10312;44;12541;10625;23;89
07.08.2021;393040;4290;33;12541;7077;21;92
08.08.2021;393059;1881;19;12541;5293;14;94
09.08.2021;393160;8193;101;12543;10457;19;88
10.08.2021;393228;5739;68;12544;7942;29;89
11.08.2021;393302;6658;74;12544;7815;22;83
12.08.2021;393361;6098;59;12544;8900;23;85
13.08.2021;393455;9202;94;12544;11793;34;87
14.08.2021;393529;4692;74;12544;8309;21;96
15.08.2021;393536;1309;7;12544;5886;21;104
16.08.2021;393610;7257;74;12546;13407;47;102
17.08.2021;393722;6472;112;12547;9383;25;105
18.08.2021;393799;6132;77;12547;10452;54;85
19.08.2021;393883;5816;84;12547;11987;38;88
20.08.2021;393977;7484;94;12547;17032;51;65
21.08.2021;394082;4842;105;12547;10354;25;70
22.08.2021;394093;943;11;12547;8193;40;74
23.08.2021;394204;7578;111;12547;13797;52;69
24.08.2021;394285;5380;81;12547;11414;29;71
25.08.2021;394446;5931;161;12547;10793;48;72
26.08.2021;394535;5017;89;12548;12590;64;81
27.08.2021;394657;6542;122;12548;16870;66;83
28.08.2021;394742;2832;85;12548;10542;51;87
29.08.2021;394791;1485;49;12548;4818;31;97
30.08.2021;394923;6779;132;12548;14850;95;100
31.08.2021;395122;6546;199;12548;16775;109;107
01.09.2021;395300;3468;178;12548;4055;54;116
02.09.2021;395532;7555;232;12549;14247;154;126
03.09.2021;395861;11605;329;12549;17444;151;142
04.09.2021;396080;21034;219;12549;10963;72;153
05.09.2021;396181;13726;101;12551;8581;88;165
06.09.2021;396487;8113;306;12552;18342;199;175
07.09.2021;396904;9450;417;12553;15509;175;180
08.09.2021;397382;34226;478;12556;15612;179;189
09.09.2021;397759;6552;377;12558;18124;185;205
10.09.2021;398278;8073;519;12558;21869;184;228
11.09.2021;398690;4506;412;12558;12442;112;245
12.09.2021;398744;1439;54;12560;10983;149;269
13.09.2021;399218;7651;474;12562;25174;294;302
14.09.2021;399978;8928;760;12566;22235;262;306
15.09.2021;400348;4067;370;12566;6257;92;335
16.09.2021;401250;8999;902;12569;24757;397;330
17.09.2021;402066;10084;816;12569;27372;284;348
18.09.2021;402808;6785;742;12569;14339;179;374
19.09.2021;402922;1981;114;12573;14343;197;397
20.09.2021;403802;10475;880;12580;29458;375;406
21.09.2021;404982;10898;1180;12589;25994;323;427
22.09.2021;405931;9925;949;12592;23753;321;458
23.09.2021;406760;8010;829;12594;24351;297;470
24.09.2021;407799;10449;1039;12596;32773;358;458
25.09.2021;408488;6584;689;12596;15456;226;487
26.09.2021;408609;1518;121;12596;15226;280;521
27.09.2021;409621;11086;1012;12606;33867;598;547
28.09.2021;411080;11698;1459;12620;27274;404;571
29.09.2021;412507;11174;1427;12637;23464;356;591
30.09.2021;413723;9308;1216;12649;26638;398;609
01.10.2021;415016;11203;1293;12660;29588;436;603
02.10.2021;415993;7308;977;12668;15135;277;632
03.10.2021;416260;2223;267;12676;15230;328;675
04.10.2021;417502;11509;1242;12690;33139;648;724
05.10.2021;419473;14117;1971;12697;29191;522;763
06.10.2021;420924;11115;1451;12705;27387;490;791
07.10.2021;422614;11034;1690;12720;26381;478;805
08.10.2021;424407;12269;1793;12729;29766;494;811
09.10.2021;425569;7508;1162;12731;13424;251;849
10.10.2021;425971;2819;402;12735;14955;360;890
11.10.2021;427480;11872;1509;12752;34417;717;920
12.10.2021;429886;13927;2406;12772;28481;559;939
13.10.2021;431757;12531;1871;12791;25636;516;977
14.10.2021;433708;11518;1951;12816;26302;479;996
15.10.2021;435649;11618;1941;12833;29346;585;970
16.10.2021;437384;8996;1735;12846;14996;437;1037
17.10.2021;437937;3162;553;12854;18154;641;1083
18.10.2021;439734;12160;1797;12864;37605;1206;1057
19.10.2021;443214;16199;3480;12872;30038;824;1068
20.10.2021;446305;14273;3091;12883;27535;911;1118
21.10.2021;449775;14282;3470;12886;29657;953;1167
22.10.2021;453231;15276;3456;12895;29906;964;1167
23.10.2021;456438;12572;3207;12903;15640;714;1251
24.10.2021;457431;3854;993;12917;16807;878;1328
25.10.2021;460281;15341;2850;12935;40891;1690;1378
26.10.2021;465027;19658;4746;12957;31973;1339;1476
27.10.2021;470008;18507;4981;12977;30462;1314;1524
28.10.2021;474595;17338;4587;13000;32393;1547;1726
29.10.2021;479737;17638;5142;13018;30375;1544;1894
30.10.2021;483773;14382;4036;13034;15029;1044;1650
31.10.2021;485629;6733;1856;13045;14615;1283;1753
01.11.2021;487916;9682;2287;13076;11082;990;1883
02.11.2021;493277;19150;5361;13112;46734;2950;1953
03.11.2021;499990;21705;6713;13146;36729;2185;2026
04.11.2021;506795;20519;6805;13166;34329;1947;2126
05.11.2021;513297;21305;6502;13205;34408;2156;2164
06.11.2021;518635;16826;5338;13229;16456;1437;2295
07.11.2021;521650;8986;3015;13269;21881;1892;2462
08.11.2021;526608;19537;4958;13314;47869;3341;2543
09.11.2021;533663;24791;7055;13367;37093;2388;2591
10.11.2021;540209;22967;6546;13405;38511;2589;2657
11.11.2021;547052;23203;6843;13446;39211;2616;2731
12.11.2021;554296;26314;7244;13485;38130;2680;2712
13.11.2021;560100;17941;5804;13537;17932;1908;2825
14.11.2021;563445;10999;3345;13598;26287;2408;2991
15.11.2021;569866;24291;6421;13644;56741;4171;2983
16.11.2021;578208;26545;8342;13687;41736;3035;2997
17.11.2021;585824;22206;7616;13725;15356;1597;3081
18.11.2021;593242;23440;7418;13781;51753;3970;3058
19.11.2021;602413;27267;9171;13818;43919;3533;2981
20.11.2021;610140;22096;7727;13861;20417;2110;3114
21.11.2021;614684;13025;4544;13919;34304;2765;3226
22.11.2021;621423;23107;6739;13985;65131;4221;3267
23.11.2021;631738;30175;10315;14056;46514;2942;3268
24.11.2021;641903;30620;10165;14107;47310;3008;3238
25.11.2021;651234;26482;9331;14177;42428;2786;3246
26.11.2021;660386;26658;9152;14228;44556;2673;3196
27.11.2021;667961;21477;7575;14274;24338;1963;3333
28.11.2021;673015;13582;5054;14341;47575;2213;3534
29.11.2021;680084;22057;7069;14418;84146;3749;3503
30.11.2021;689618;28373;9534;14503;50370;2365;3517
01.12.2021;697471;22945;7853;14606;43931;2122;3500
02.12.2021;712749;42403;15278;14696;38038;1977;3529
03.12.2021;722108;26037;9359;14771;40867;1978;3370
04.12.2021;729475;19335;7367;14826;19993;1241;3474
05.12.2021;732495;7971;3020;14900;34733;1398;3566
06.12.2021;739544;24952;7049;15004;67946;2409;3526
07.12.2021;748969;26081;9425;15095;43665;1663;3442
08.12.2021;757492;22238;8523;15179;37084;1507;3438
09.12.2021;764112;19585;6620;15236;35890;1316;3345
10.12.2021;769944;18382;5832;15304;36202;1346;3232
11.12.2021;774857;14455;4913;15354;16354;916;3294
12.12.2021;777227;6963;2370;15415;30684;1073;3338
13.12.2021;781989;18079;4762;15516;63097;1820;3221
14.12.2021;788772;20985;6783;15621;38242;1189;3111
15.12.2021;794166;17319;5394;15730;37278;1063;3064
16.12.2021;798663;15730;4497;15843;35266;1097;2982
17.12.2021;802684;14252;4021;15931;34295;1016;2817
18.12.2021;806115;11383;3431;16014;14322;684;2880
19.12.2021;807339;4713;1224;16068;25499;813;2936
20.12.2021;811022;14742;3683;16129;53067;1254;2810
21.12.2021;816102;17059;5080;16198;34226;880;2690
22.12.2021;819493;13531;3391;16239;27352;788;2544
23.12.2021;824172;17934;4679;16290;26492;854;2273
24.12.2021;825246;4201;1074;16336;6184;252;2236
25.12.2021;825629;2376;383;16398;4876;314;2299
26.12.2021;826850;4995;1221;16445;12926;544;2362
27.12.2021;831093;16258;4243;16486;37773;1172;2371
28.12.2021;835548;15501;4455;16554;26588;779;2277
29.12.2021;838738;11697;3190;16598;28372;653;2255
30.12.2021;841733;11745;2995;16635;24120;783;2196
31.12.2021;844393;10494;2660;16665;16904;604;2005
01.01.2022;844609;1464;216;16701;3411;125;2038
02.01.2022;845937;5729;1328;16740;23654;637;2087
03.01.2022;849516;15324;3579;16788;53327;934;2077
04.01.2022;853416;13498;3900;16824;32954;637;1987
05.01.2022;856685;12432;3269;16871;30082;606;1922
06.01.2022;857801;5070;1116;16896;10097;308;1942
07.01.2022;860832;13258;3031;16933;29135;720;1822
08.01.2022;862962;9378;2130;16962;13487;360;1837
09.01.2022;863817;4490;855;16989;28389;449;1863
10.01.2022;866412;13746;2595;17039;57271;871;1813
11.01.2022;869663;13306;3251;17081;34108;554;1711
12.01.2022;872511;11680;2848;17128;29702;548;1653
13.01.2022;874399;8495;1888;17188;28695;575;1594
14.01.2022;876448;9013;2049;17252;26613;611;1499
15.01.2022;879656;12981;3208;17300;12585;413;1502
16.01.2022;880671;4940;1015;17352;24438;689;1498
17.01.2022;884604;15955;3933;17398;58142;1306;1433
18.01.2022;890787;18024;6183;17459;34740;1065;1374
19.01.2022;896798;17803;6011;17520;34732;1173;1333
20.01.2022;903833;19274;7035;17577;31729;1164;1288
21.01.2022;910311;17756;6478;17612;32478;1390;1212
22.01.2022;917918;20681;7607;17643;15789;1066;1241
23.01.2022;921421;9684;3503;17675;28055;1633;1274
24.01.2022;929541;23507;8120;17698;63399;2860;1322
25.01.2022;943381;32328;13840;17725;42001;2732;1316
26.01.2022;957633;32227;14252;17755;39907;2785;1344
27.01.2022;971945;31662;14312;17779;37899;2824;1343
28.01.2022;987063;33668;15118;17796;37634;3188;1338
29.01.2022;1000345;26643;13282;17817;17829;2218;1389
30.01.2022;1008141;15798;7796;17830;29247;3072;1448
31.01.2022;1022784;31595;14643;17850;71830;5967;1486
01.02.2022;1043008;38506;20224;17877;43821;4359;1575
02.02.2022;1062396;35766;19388;17896;44154;4378;1613
03.02.2022;1081929;37175;19533;17921;42184;3907;1682
04.02.2022;1101506;37141;19577;17938;36680;3977;1730
05.02.2022;1117055;28424;15549;17958;17105;2609;1820
06.02.2022;1127020;17497;9965;17973;25227;3737;1950
07.02.2022;1146260;36874;19240;17995;56892;6452;2071
08.02.2022;1166842;36766;20582;18014;41030;5006;2171
09.02.2022;1187002;35106;20160;18040;39170;4661;2213
10.02.2022;1207053;34691;20051;18064;35987;4227;2315
11.02.2022;1226925;35680;19872;18081;32732;4035;2271
12.02.2022;1241121;24925;14196;18095;14710;2634;2411
13.02.2022;1249673;15645;8552;18105;22596;3821;2552
14.02.2022;1268569;34073;18896;18123;52138;6379;2642
15.02.2022;1288524;34570;19955;18145;37640;4808;2720
16.02.2022;1306967;32730;18443;18179;32857;4049;2701
17.02.2022;1324503;31179;17536;18201;32214;3618;2751
18.02.2022;1342436;32332;17933;18225;30028;3722;2688
19.02.2022;1354348;22166;11912;18240;12568;2135;2812
20.02.2022;1361039;12131;6691;18252;17164;2877;2912
21.02.2022;1374459;25569;13420;18279;45533;5383;2900
22.02.2022;1393534;33688;19075;18314;31587;3566;2909
23.02.2022;1408717;27105;15183;18338;28260;3190;2884
24.02.2022;1421546;23849;12829;18375;28272;2938;2862
25.02.2022;1433930;23621;12384;18413;23096;2834;2663
26.02.2022;1442194;15299;8264;18453;9373;1506;2752
27.02.2022;1446922;8825;4728;18485;12837;2099;2852
28.02.2022;1458129;21767;11207;18530;36620;4229;2774
01.03.2022;1470892;22385;12763;18567;25501;2844;2699
02.03.2022;1482354;20128;11462;18611;25021;2643;2706
03.03.2022;1493383;19118;11029;18631;23580;2549;2697
04.03.2022;1503308;18787;9925;18663;19854;2370;2558
05.03.2022;1509494;11580;6186;18687;8679;1334;2601
06.03.2022;1512913;6564;3419;18704;11962;1928;2656
07.03.2022;1522732;16760;9819;18750;32422;3764;2617
08.03.2022;1534444;23090;11712;18786;23410;2570;2576
09.03.2022;1546510;20595;12066;18817;19606;2289;2540
10.03.2022;1556433;17210;9923;18847;19867;2215;2541
11.03.2022;1565484;16319;9051;18881;18786;2327;2419
12.03.2022;1573111;13475;7627;18918;6883;1009;2507
13.03.2022;1576486;6307;3375;18950;8758;1423;2596
14.03.2022;1586140;19417;9654;18979;25444;2792;2580
15.03.2022;1597668;20047;11528;19009;19191;1952;2556
16.03.2022;1608668;19359;11000;19040;17545;1711;2500
17.03.2022;1618450;16757;9782;19073;18277;1645;2524
18.03.2022;1627836;17458;9386;19093;14932;1619;2368
19.03.2022;1634669;12909;6833;19110;6210;936;2433
20.03.2022;1637509;5479;2840;19133;8068;1260;2507
21.03.2022;1646446;18522;8937;19161;22858;2413;2460
22.03.2022;1656833;19512;10387;19185;17118;1553;2368
23.03.2022;1666482;18588;9649;19209;15027;1492;2320
24.03.2022;1674586;15364;8104;19229;15265;1362;2276
25.03.2022;1681865;14726;7279;19251;12718;1393;2152
26.03.2022;1687425;11475;5560;19270;4782;618;2229
27.03.2022;1690203;5690;2778;19292;6829;960;2276
28.03.2022;1696760;15288;6557;19311;21485;1966;2209
29.03.2022;1703550;14738;6790;19334;13928;1303;2140
30.03.2022;1710884;15828;7334;19352;13914;1085;2092
31.03.2022;1716638;11822;5754;19368;13698;1012;2065
01.04.2022;1722229;13002;5591;19392;11321;932;1942
02.04.2022;1725487;8024;3258;19417;3875;387;2036
03.04.2022;1726952;4041;1465;19440;5162;565;2088
04.04.2022;1732096;13572;5144;19462;17003;1292;1987
05.04.2022;1737315;12724;5219;19482;11316;799;1842
06.04.2022;1741695;10952;4380;19500;10393;737;1783
07.04.2022;1745268;8910;3573;19523;11250;699;1705
08.04.2022;1748373;8929;3105;19549;9244;610;1579
09.04.2022;1750541;6370;2168;19573;3256;260;1602
10.04.2022;1751565;2954;1024;19595;4163;313;1655
11.04.2022;1754579;10426;3014;19618;15087;778;1562
12.04.2022;1757117;7983;2538;19643;10127;515;1423
13.04.2022;1759793;8116;2676;19670;9169;429;1329
14.04.2022;1762270;7148;2477;19697;9520;410;1159
15.04.2022;1763197;2548;927;19721;2700;91;1146
16.04.2022;1763995;3262;798;19741;2986;260;1156
17.04.2022;1765258;3604;1263;19759;2109;111;1171
18.04.2022;1765962;3331;704;19773;3239;201;1216
19.04.2022;1768045;8971;2083;19790;15184;674;1145
20.04.2022;1770460;8416;2415;19803;10481;455;1096
21.04.2022;1772201;5861;1741;19817;9312;361;1061
22.04.2022;1773653;6108;1452;19829;7404;313;968
23.04.2022;1774808;4910;1155;19839;2698;130;973
24.04.2022;1775178;1888;370;19852;2768;154;992
25.04.2022;1776576;7671;1398;19862;11051;433;928
26.04.2022;1777971;6785;1395;19873;7851;253;895
27.04.2022;1779096;5489;1125;19879;7818;239;850
28.04.2022;1780022;4524;926;19891;7341;237;793
29.04.2022;1780955;4666;933;19905;6351;196;691
30.04.2022;1781692;4265;737;19917;2275;96;665
01.05.2022;1781842;1132;150;19931;1768;87;689
02.05.2022;1782607;5444;765;19938;8333;341;611
03.05.2022;1783353;4240;746;19943;4680;176;550
04.05.2022;1783906;3051;553;19952;4258;239;507
05.05.2022;1784410;2436;504;19961;3979;137;468
06.05.2022;1784899;2718;489;19968;3433;159;419
07.05.2022;1785133;1601;234;19978;1304;73;423
08.05.2022;1785186;564;53;19984;1180;63;427
09.05.2022;1785535;3250;349;19994;4805;262;411
10.05.2022;1785978;2511;443;20002;3400;166;373
11.05.2022;1786328;2127;350;20011;3511;138;348
12.05.2022;1786579;1527;251;20018;3885;125;335
13.05.2022;1786914;2132;335;20028;3085;112;294
14.05.2022;1787093;1207;179;20041;1241;58;301
15.05.2022;1787142;439;49;20050;1059;56;301
16.05.2022;1787404;2275;262;20062;3986;173;291
17.05.2022;1787657;1933;253;20069;2736;80;270
18.05.2022;1787919;1746;262;20073;2414;84;265
19.05.2022;1788133;1524;214;20075;2907;55;255
20.05.2022;1788334;1684;201;20077;2330;77;240
21.05.2022;1788452;890;118;20080;735;24;238
22.05.2022;1788490;404;38;20081;847;30;246
23.05.2022;1788686;1933;196;20083;4117;134;245
24.05.2022;1788865;1423;179;20088;2437;59;236
25.05.2022;1789037;1289;172;20091;2106;63;225
26.05.2022;1789201;1194;164;20093;2531;68;212
27.05.2022;1789351;1290;150;20096;1999;64;199
28.05.2022;1789437;691;86;20097;524;14;195
29.05.2022;1789465;296;28;20098;689;17;198
30.05.2022;1789610;1688;145;20100;3769;88;199
31.05.2022;1789752;1266;142;20100;2258;51;181
01.06.2022;1789900;1088;148;20101;2279;66;176
02.06.2022;1790017;939;117;20103;2591;58;176
03.06.2022;1790150;1020;133;20104;1662;62;160
04.06.2022;1790228;591;78;20104;491;15;156
05.06.2022;1790256;246;28;20104;854;42;163
06.06.2022;1790423;1380;167;20105;3606;95;167
07.06.2022;1790597;1013;174;20107;4436;48;154
08.06.2022;1790791;1049;194;20109;1831;65;159
09.06.2022;1790959;858;168;20112;1948;39;155
10.06.2022;1791124;1084;165;20114;1341;46;145
11.06.2022;1791192;524;68;20116;535;18;152
12.06.2022;1791220;244;28;20116;746;43;158
13.06.2022;1791426;1265;206;20119;2304;106;148
14.06.2022;1791639;1032;213;20119;1917;55;146
15.06.2022;1791816;918;177;20122;1397;60;165
16.06.2022;1791987;779;171;20126;1808;50;169
17.06.2022;1792203;1078;216;20130;1159;57;159
18.06.2022;1792317;510;114;20133;413;22;168
19.06.2022;1792381;255;64;20137;634;40;185
20.06.2022;1792700;1430;319;20137;2135;128;189
21.06.2022;1793031;1165;331;20140;1484;86;217
22.06.2022;1793369;1258;338;20142;1471;88;222
23.06.2022;1793688;1009;319;20142;2747;86;239
24.06.2022;1794113;1354;425;20142;1529;110;247
25.06.2022;1794311;612;198;20142;530;39;262
26.06.2022;1794406;330;95;20142;712;57;279
27.06.2022;1794876;1674;470;20144;4112;273;308
28.06.2022;1795398;1305;522;20146;4083;149;314
29.06.2022;1796017;1675;619;20147;1622;134;320
30.06.2022;1796554;1320;537;20147;2467;152;332
01.07.2022;1797131;1468;577;20149;2088;164;317
02.07.2022;1797405;697;274;20151;642;49;328
03.07.2022;1797464;213;59;20151;992;56;350
04.07.2022;1798131;1777;667;20152;3127;272;336
05.07.2022;1798381;618;250;20152;898;92;346
06.07.2022;1799054;1637;673;20154;2202;294;334
07.07.2022;1799763;1594;709;20157;2467;201;334
08.07.2022;1800673;2001;910;20159;1896;228;323
09.07.2022;1801038;908;365;20160;657;80;339
10.07.2022;1801152;309;114;20160;954;112;355
11.07.2022;1801993;2017;841;20163;3636;439;382
12.07.2022;1802866;2122;873;20166;2464;293;365
13.07.2022;1803688;1869;822;20168;2253;290;381
14.07.2022;1804534;1740;846;20169;2710;249;399
15.07.2022;1805619;2511;1085;20171;2646;331;390
16.07.2022;1806090;1083;471;20172;892;118;428
17.07.2022;1806246;368;156;20172;1006;158;478
18.07.2022;1807228;2263;982;20176;4173;617;505
19.07.2022;1808387;2422;1159;20183;2804;368;538
20.07.2022;1809403;2302;1016;20188;2881;344;550
21.07.2022;1810418;2419;1015;20193;3380;372;569
22.07.2022;1811383;2347;965;20195;3114;393;595
23.07.2022;1812050;1375;667;20197;1041;152;646
24.07.2022;1812203;388;153;20198;1247;160;702
25.07.2022;1813388;2615;1185;20201;6283;712;726
26.07.2022;1814507;2196;1119;20206;4477;454;747
27.07.2022;1815107;1395;600;20212;3044;342;764
28.07.2022;1816121;1955;1014;20216;3986;427;743
29.07.2022;1817305;2495;1184;20219;3170;409;719
30.07.2022;1817779;1037;474;20223;1029;112;727
31.07.2022;1817918;374;139;20227;1405;198;755
01.08.2022;1818852;2426;934;20232;5310;597;727
02.08.2022;1819930;2179;1078;20236;4001;394;704
03.08.2022;1820961;2138;1031;20242;3561;363;661
04.08.2022;1821908;1881;947;20248;3781;336;665
05.08.2022;1822841;2189;933;20253;3293;344;592
06.08.2022;1823259;1003;418;20259;1110;99;618
07.08.2022;1823364;326;105;20263;1504;167;656
08.08.2022;1824238;2262;874;20269;5533;595;605
09.08.2022;1825164;2105;926;20274;3319;301;568
10.08.2022;1826017;2078;853;20280;3138;283;553
11.08.2022;1826628;1488;611;20289;3636;253;534
12.08.2022;1827404;1912;776;20296;3087;342;495
13.08.2022;1827711;750;307;20303;1007;72;519
14.08.2022;1827804;316;93;20306;1453;162;545
15.08.2022;1828499;2063;695;20311;4975;577;519
16.08.2022;1829138;1684;639;20317;3183;275;515
17.08.2022;1829709;1502;571;20322;3125;273;515
18.08.2022;1830206;1209;497;20329;3665;286;528
19.08.2022;1830756;1582;550;20331;2668;273;502
20.08.2022;1831052;796;296;20333;922;79;524
21.08.2022;1831135;276;83;20333;1217;114;558
22.08.2022;1831679;1697;544;20338;5247;460;557
23.08.2022;1832225;1440;546;20341;3048;325;519
24.08.2022;1832691;1343;466;20343;3275;326;476
25.08.2022;1833056;1053;365;20346;5380;511;482
26.08.2022;1833519;1344;463;20347;4748;283;445
27.08.2022;1833691;536;172;20348;757;72;447
28.08.2022;1833748;201;57;20349;795;104;489
29.08.2022;1833873;488;125;20349;1391;139;506
30.08.2022;1834215;1186;342;20353;4450;368;460
31.08.2022;1834717;1453;502;20357;2794;257;416
01.09.2022;1834791;311;74;20360;1262;103;425
02.09.2022;1835116;1238;325;20362;2959;266;387
03.09.2022;1835277;592;161;20363;734;63;406
04.09.2022;1835328;219;51;20365;963;82;424
05.09.2022;1835665;1511;337;20369;4435;402;410
06.09.2022;1836074;1407;409;20374;3070;230;401
07.09.2022;1836431;1162;357;20379;2556;199;393
08.09.2022;1836740;1153;309;20386;3620;247;409
09.09.2022;1837073;1271;333;20395;3894;304;383
10.09.2022;1837223;567;150;20402;2004;75;393
11.09.2022;1837272;208;49;20411;1033;107;405
12.09.2022;1837628;1470;356;20417;6055;389;381
13.09.2022;1838046;1230;418;20421;2890;252;381
14.09.2022;1838393;1141;347;20426;2654;261;375
15.09.2022;1838466;308;73;20429;1171;89;393
16.09.2022;1838952;1447;486;20433;3001;355;390
17.09.2022;1839156;662;204;20436;807;99;425
18.09.2022;1839213;248;57;20436;1114;153;462
19.09.2022;1839635;1557;422;20439;5041;567;470
20.09.2022;1840054;1309;419;20439;3575;395;457
21.09.2022;1840519;1328;465;20441;3842;326;464
22.09.2022;1840902;1136;383;20443;3474;320;489
23.09.2022;1841307;1390;405;20446;3088;381;495
24.09.2022;1841502;600;195;20448;920;125;551
25.09.2022;1841580;278;78;20450;1151;157;589
26.09.2022;1842022;1595;442;20453;5770;679;638
27.09.2022;1842619;1611;597;20454;3716;479;647
28.09.2022;1843220;1694;601;20455;3785;440;682
29.09.2022;1843685;1287;465;20457;4861;459;714
30.09.2022;1844129;1498;444;20459;3488;464;687
01.10.2022;1844400;721;271;20461;1011;140;735
02.10.2022;1844453;221;53;20462;1430;174;780
03.10.2022;1844988;1716;535;20465;5662;743;820
04.10.2022;1845590;1634;602;20467;4293;537;812
05.10.2022;1846079;1531;489;20470;4038;428;789
06.10.2022;1846529;1274;450;20472;5092;411;775
07.10.2022;1847006;1491;477;20475;3235;399;778
08.10.2022;1847246;691;240;20478;932;131;778
09.10.2022;1847301;249;55;20481;1210;144;778
10.10.2022;1847728;1581;427;20485;6301;571;NaN
11.10.2022;1848237;1740;509;20491;3650;417;NaN
12.10.2022;1848667;1445;430;20496;2327;229;NaN
13.10.2022;1848977;1086;310;20501;NaN;NaN;NaN
14.10.2022;1849389;1492;412;20507;NaN;NaN;NaN
15.10.2022;1849527;570;138;20511;NaN;NaN;NaN
